카테고리,제목,청원내용
고용노동부," 
														안전관리자의 직무 이대로 괜찮은가?
														","안전관리자 직무 핵심 보좌·지도·조언: 사업주·안전보건관리책임자 보좌, 관리감독자에게 안전 관련 기술적 조언을 제공하며 권고적 성격으로 지도·조언을 수행합니다. 규정·점검: 안전보건관리규정 작성 및 개정에 참여하고, 사업장 순회점검을 수행하며 점검 결과를 기록·유지합니다. 위험성평가 및 개선: 유해·위험요인 파악을 지원하고 개선대책 수립에 기술적 보조를 하며, 작업환경 점검 및 개선을 돕습니다. 재해 대응: 산업재해 발생 시 원인 조사·분석을 지원하고 재발방지 대책 수립에 기술적 보좌를 합니다 하지만 중처법이 생기면서 안전관리자들 한테도 법을 제대로 이행했는지 여부를 많이 묻더라고요. 현재 안전관리자는 지도,조언,보좌가 전부입니다. 사업주가 찍어 누르면 안전에 대해서 제대로 이행할수 있는 직업이 아닙니다. 저는 그래서 안전관리자 소속은 발주처 소속이 되어야 현장에 제대로 된 안전관리를 할수 있지 않을까 생각됩니다."
법무부," 
														채팅앱·오픈채팅을 이용한 기만적 외도 행위 및 신분 사칭에 대한 제도 개선을 요청합니다
														","안녕하세요. 저는 배우자가 있음에도 불구하고 자신을 미혼 또는 총각인 것처럼 속이며 채팅앱과 오픈채팅을 통해 여러 이성과 연락하는 행위로 인해 큰 정신적 고통을 겪고 있는 배우자입니다. 현재 많은 사람들이 결혼 사실을 숨긴 채 채팅앱, SNS, 오픈채팅 등을 이용하여 이성에게 접근하고 있습니다. 일부는 타인의 사진을 사용하거나 자신의 신분을 속이며 친밀한 관계를 형성하고, 이러한 행동으로 인해 배우자와 상대방 모두에게 정신적 피해를 주고 있습니다. 그러나 현행 제도에서는 이러한 온라인상의 기만 행위에 대해 피해 배우자를 보호하거나 예방할 수 있는 장치가 부족하다고 생각합니다. 이에 다음과 같은 제도 개선을 요청합니다. 배우자가 있는 사람이 결혼 사실을 숨기고 지속적으로 이성에게 접근하는 행위에 대한 제도적 검토 타인의 사진이나 허위 정보를 이용한 온라인 신분 사칭 행위에 대한 처벌 강화 채팅앱 및 오픈채팅 서비스 내 허위 신분 사용 신고 및 제재 절차 강화 온라인 외도로 인해 정신적 피해를 입은 배우자를 위한 보호 및 구제 방안 마련 가정을 파괴하고 배우자에게 심각한 정신적 고통을 주는 기만 행위가 반복되지 않도록 관련 제도 개선을 요청드립니다. 감사합니다."
문화체육관광부," 
														필라테스 지도자 국가 공인 자격제도 도입과 무자격 강사 관리·감독 강화를 요청드립니다.
														","안녕하십니까. 필라테스 산업이 급격히 성장하고 있는 현재, 지도자 자격과 교육 수준의 불균형으로 인해 많은 문제가 발생하고 있어 이 문제의 심각성을 알리고 제도적 개선을 요청드립니다.   현재 필라테스 지도자 중 상당수가 체육학 비전공자이거나, 국가에서 인정하는 공인 자격 없이 단기간의 민간 교육만 이수한 채 강사로 활동하고 있습니다. 필라테스는 단순한 동작 지도가 아니라, 해부학·운동역학·근골격계에 대한 전문 지식과 정확한 평가 및 피드백 능력이 매우 중요합니다. 그럼에도 불구하고, 현 시장에서는 누구나 단기간 교육만으로 ‘강사’라는 이름을 사용할 수 있어 국민 안전과 지도 품질이 심각하게 저하되고 있습니다.   특히, 잘못된 지도나 해부학적 이해 부족은 통증 악화, 재활 지연, 근골격계 부상 등 실질적인 위험으로 이어질 수 있습니다. 이 문제는 필라테스 업계를 넘어 국민 건강권과 직결되는 사안입니다.   이에 아래와 같은 제도 마련을 강력히 요청드립니다. 1. 필라테스 지도자 국가 공인 자격제도 신설 생활스포츠지도사처럼 필라테스 분야에도 국가가 공적으로 인정하는 공식 자격체계를 마련해 주십시오. 전문성 검증을 갖춘 지도자가 현장에서 활동할 수 있도록 국가 차원의 표준 기준이 필요합니다. 2. 필라테스 지도자 등록제 도입 및 관리·감독 강화 필라테스 운영 시설은 지도자의 전공 여부 국가 공인 자격 보유 여부 교육 이력 등을 의무적으로 등록하도록 하고, 일정 기준을 충족하지 못한 경우 지도 활동을 제한할 수 있는 관리 체계를 마련해 주십시오. 3. 무자격 지도자 고용 시설에 대한 행정적 제재 근거 마련 국가 공인 자격 또는 검증된 전문성을 갖추지 않은 지도자가 수업을 진행하는 경우, 운영 시설에 대한 점검·시정 명령 또는 행정처분이 가능하도록 제도적 기반을 마련해 주십시오. 이 제재는 비전공자 배척을 목적하는 것이 아니라, 국민 안전 보호를 위한 최소한의 장치입니다. 4. 단기 민간 자격증 교육기관의 허위·과장 광고에 대한 감독 강화 단기간 교육만으로 “강사 자격 취득”을 홍보하는 기관이 많아 피해가 발생하고 있습니다. 민간 교육기관에 대한 품질 기준과 감독을 강화해 주십시오.   끝으로, 필라테스는 국민이 건강 회복과 체형 개선을 위해 믿고 찾는 중요한 운동입니다. 전문성이 검증된 지도자가 지도하는 환경을 만드는 것은 업계만의 요구가 아니라, 국민 모두의 안전과 직결된 공익적 문제입니다. 필라테스 지도자의 전문성 확보를 위한 국가 제도 마련을 간곡히 요청드립니다. 국민의 건강은 검증되지 않은 지도자에게 맡겨서는 안 됩니다."
제주특별자치도교육청," 
														공립학교 시설의 사적 이용 문제
														","공립학교 운동장은 학생과 지역 주민 모두가 함께 이용할 수 있는 공공시설입니다. 그러나 일부 학교 운동장에서 개인 축구 레슨 등 영리 목적의 활동이 지속적으로 이루어지면서 일반 주민들의 운동장 이용이 제한되는 사례가 발생하고 있습니다. 특히 개인 레슨을 위해 콘, 골대, 훈련장비 등 각종 보조도구를 넓은 공간에 설치하여 운동장 일부 또는 전체를 사실상 점유하는 경우, 친구들과 축구를 하거나 부모와 자녀가 함께 운동장을 이용하려는 주민들은 공간을 사용할 수 없게 됩니다. 공공시설은 특정 개인이나 업체의 영리활동을 위해 우선적으로 사용되어서는 안 되며, 모든 시민이 공정하게 이용할 수 있어야 합니다. 학교 운동장에서의 영리 목적 체육지도 행위가 허용되는 범위와 절차를 명확히 하고, 일반 주민의 이용권이 침해되지 않도록 관리·감독을 강화해 주시기 바랍니다. 아울러 학교 운동장을 이용한 영리활동에 대한 허가 기준, 사용료 징수 여부, 이용 시간 및 공간 배정 기준 등을 투명하게 공개하여 공공시설의 공정한 이용이 보장될 수 있도록 제도 개선을 요청합니다. 감사합니다."
법무부," 
														집값은 잡아도 '사는 사람'은 방치됩니까 — 오피스텔 관리 사각지대, 집합건물법 개정을 청원합니다
														","▶ 고발 사이트: https://centravil.com [청원 취지] 정부는 '주택은 자산 증식의 수단이 아니라 국민의 삶을 지탱하는 공공재'라는 철학으로 부동산 정책을 펴고 있습니다. 그러나 집값 안정과 공급에 정책이 집중되는 사이, '이미 그 집에 살고 있는 사람'의 주거 환경과 관리 문제는 사각지대에 놓여 있습니다. 특히 오피스텔 등 집합건물은 '의무관리대상'이 아니어서, 관리단·관리업체가 법정 정보공개를 거부하고 입주민 피해를 외면해도 행정기관이 감사·시정·처벌할 수단이 없습니다. 「집합건물의 소유 및 관리에 관한 법률」을 개정하여 ①관리주체의 정보공개 의무 이행 강제 ②지방자치단체의 감독·감사 권한 ③입주민 피해 구제·분쟁조정의 실효성 확보를 청원합니다. 1. 집은 '샀다'가 아니라 '산다' — 한 입주민의 1년 강남구 세곡동의 한 오피스텔 공용 냉방설비(FCU)에서 24시간 저주파 소음이 1년 넘게 발생했습니다. 입주민이 직접 분석한 결과 에너지의 79%가 30~150Hz 초저주파(피크 147Hz)에 집중된 측정 가능한 물리적 소음이었고, 수면장애·구토·정신과 치료, 이웃 세대의 이사로 이어졌습니다. 입주 직후 소음 미고지가 공인중개사법 위반으로 인정돼 중개수수료가 전액 환급되는 등 제3자도 '중대한 하자'로 인정했습니다. 2. 관리 사각지대 — 관리단·관리업체가 움직이지 않아도 막을 수 없다 공용설비 문제임에도 관리단·관리업체는 측정·수리비를 입주민에게 전가하고, 집합건물법 제26조·제66조에 따른 장부·회의록 등 정보공개 의무를 거부했습니다. 그러나 오피스텔은 의무관리대상이 아니어서, 아파트라면 가능한 지자체의 감사·시정명령·형사처벌이 불가능합니다. 강남구청에 민원해도 돌아온 것은 '권고'뿐이었고, 소유주 58명 전원에게 보낸 내용증명에도 단 한 건의 회신이 없었습니다. 관리주체가 법적 의무를 어겨도 이를 강제할 행정·법적 수단이 존재하지 않는 것입니다. 3. 청원하는 바 집값을 잡는 일만큼, '이미 살고 있는 사람'이 고통받지 않도록 하는 일도 주거 정책입니다. 이는 한 건물의 문제가 아니라 같은 사각지대에 놓인 전국 오피스텔·집합건물 거주자 모두의 문제입니다. 「집합건물법」을 개정하여 ①관리단·관리업체의 정보공개 의무 위반에 대한 제재·강제 수단 도입 ②지방자치단체의 감독·감사 권한 부여 ③입주민 피해 구제 및 분쟁조정 제도의 실효성 확보를 강력히 청원합니다. 관련 경과·증거·주파수 분석 전체: https://centravil.com"
법무부," 
														최저생계비 미만의 금액을 강제로 우선 압류하는 것에 대한 개정을 요청드립니다.
														","본인은 코로나 직전의 사업과 생계비 관련하여 대출을 받았으나 잦은 이직과 코로나 그리고 개인회생을 2회나 진행했음에도 마땅히 돈이 모이지 않고 계속해서 직업이 안정되지 않아 개인회생마저 효력이 상실되었습니다. 그로인해 은행과 추심업체등등을 통해 인천지방법원에서 압류가 들어왔습니다. 하지만 최저생계비는 보장되어야 함에도 은행과 법원에서는 일단 각 통장의 금액을 확인하지 않고 일단 압류를 걸고 그것에 대한 반환은 매우 어렵게 지정해놨습니다. 최소 1달은 걸리고 신청하는 방법마저도 너무 어려워 그 당시 고등학교 졸업 대학교 중퇴인 제 머리로도 법률구조공단의 도움같지도 않은 도움을 받았으나 인천지방법원에 무조건 가서 신청해야하는 제한(전자민원으로 된다는 정보도 있으나 법률구조공단은 무조건 인천지방법원에 방문해야한다고 함) 그리고 검색했을때 정확한 정보가 없이 서로 다른 신청방법과 모호한 제출서류과 양식 등등으로 이건 도대체 최저생계비를 보장을 해주겠다는 건지 모르겠습니다. 또한 그 당시 생활비 78만원이 들은 계좌 1개가 전부였는데 갑자기 들어온 압류로 당장에 생활 할 돈이 없어 또 다시 여신금융이나 사금융 지인에게 빌어서 또 다시 돈을 빌리는 악순환을 낳고있습니다. 이게 어딜봐서 최저생계비 (보장)입니까? 일단 냅다 계좌에 압류를 걸어놓고 최저생계비 미만의 금액이라고 압류를 풀어달래도 모든 변제금을 다 넣어야 풀어준다는데 78만원을 돌려받고자 2천만원을 납부하는 바보가 어디있습니까? 물론 이번에 정부에서 만든 생계비계좌는 너무나도 잘 이용하고있습니다. 하지만 저는 2023년에 묶인 78만원을 아직도 찾지 못하고있습니다. 소명하는 방법도 복잡하고, 우선 압류부터 걸어버리는걸 인용한 법원도 문제가 있다고 생각합니다. 이 압류추심의 절차 그리고 최저생계비를 돌려받는 범위변경신청의 방법 또한 개선되어야 한다고 생각합니다."
경찰청," 
														성폭력·가정폭력 조사 체계의 중립성 확보 및 해바라기센터 운영 개선에 관한 청원
														","청원 취지: 현재 해바라기센터를 중심으로 운영되는 성폭력 등 사건의 조사 체계가 피해자 진술의 확보에만 치우쳐, 수사의 기본 원칙인 중립성을 훼손하고 피의자의 방어권을 심각하게 침해하고 있습니다. 이에 조사의 객관성을 담보할 수 있는 법적·제도적 장치를 마련하고, 유도심문을 방지하기 위한 조사 매뉴얼 개정을 강력히 청원합니다. 성폭력 사건 조사 시 '해바라기센터'의 유도심문 가능성을 원천 차단하는 법적 장치를 마련하고, 남성 피해자가 제도적 소외감이나 편견 없이 보호받을 수 있도록 지원 체계를 전면 재정비할 것을 청원합니다. 1. 현황 및 문제점 가. 조사 과정의 편향성과 유도심문 논란 해바라기센터는 피해자 지원을 목적으로 하는 성평가족부 산하 기관의 성격과 수사를 담당하는 경찰청의 기능이 혼재되어 있습니다. 이로 인해 조사관이 피해자의 감정에 공감하며 진술을 이끌어내는 과정에서, 사실관계 확인보다는 피해자의 주장을 보강하는 방식의 '유도심문'이 발생할 구조적 위험이 큽니다. 이는 헌법상 '무죄 추정의 원칙'을 정면으로 위배할 소지가 있습니다. 나. 피의자의 방어권 보장 미흡 센터 내 진술 녹화실에서 이루어지는 초기 진술은 추후 재판에서 결정적인 증거로 작용합니다. 그러나 이 과정에서 피의자 측의 반대 심문이나 객관적인 제3자의 검증이 개입하기 어렵습니다. 피해자의 일방적인 진술이 '피해자 중심주의'라는 명분 아래 성역화되어, 피의자가 자신을 변호할 기회를 박탈당하는 사례가 빈번하게 보고되고 있습니다. 다. 증거 능력의 객관성 상실 최근 헌법재판소는 피해자의 진술 녹화물을 반대 신문 없이 증거로 사용하는 것에 대해 위헌 결정을 내린 바 있습니다(2021헌바384). 그럼에도 불구하고 실무 현장에서는 여전히 해바라기센터의 상담 기록이나 녹화물이 수사 방향을 결정짓는 절대적 지표로 활용되고 있으며, 이 과정에서 발생하는 확증편향은 사법 불신으로 이어지고 있습니다. 2. 구체적인 개선안 가. 수사 기능과 지원 기능의 엄격한 분리 해바라기센터 내부에서 상담(지원)과 수사(진술 녹화)를 같은 공간에서 진행하는 현재의 시스템을 개선해야 합니다. 상담원은 피해자의 심리적 안정을 돕되, 수사를 담당하는 경찰관은 철저히 중립적인 제3의 장소에서 객관적인 질문 매뉴얼에 따라 조사를 진행하도록 법적 근거를 마련해야 합니다. 나. '중립적 조사관' 제도 도입 및 교육 의무화 사건의 예단(先入見)을 갖지 않은 외부 전문가나 중립적 수사관이 조사를 주도하도록 해야 합니다. 특히 유도심문을 엄격히 금지하는 수사 매뉴얼을 명문화하고, 이를 위반하여 얻은 진술은 법적 증거 능력을 원천적으로 무효화하는 '독수독과 원칙'을 강화해야 합니다. 다. 피의자 측의 절차적 참여권 확대 피해자의 진술 과정에서 피의자나 변호인이 직접 참여할 수는 없더라도, 조사 과정의 투명성을 위해 조사 전문(Full Transcript)을 즉각 공개하거나, 조사 과정에 편향성이 없었는지를 사후에 검증할 수 있는 '중립적 심리 분석 전문가'의 검토 과정을 의무화해야 합니다. 라. 허위 진술에 대한 경고 및 제재 강화 조사 시작 전, 피해자에게도 허위 진술 시 발생할 수 있는 법적 책임(무고죄 등)을 엄격히 고지하는 절차를 강화하여 진술의 신빙성을 확보해야 합니다. 이는 진정한 피해자를 보호함과 동시에 억울한 가해자가 발생하는 것을 방지하는 최소한의 안전장치입니다. 청원서의 내용을 더욱 구체화하고, 특히 남성 피해자에 대한 사각지대 해소와 인식 개선을 핵심 축으로 보강했습니다. 이 내용은 제도의 공정성뿐만 아니라 '모든 피해자에 대한 실질적 평등'이라는 논리를 강화하여 설득력을 높이는 데 도움이 될 것입니다.   3. 현행 제도의 구체적 문제점 및 남성 피해자 소외 실태 가. '피해자다움'의 강요와 유도심문의 결합 현재 해바라기센터의 실무 매뉴얼은 피해자의 '기억 재구성'을 돕는다는 명목하에 폐쇄적인 공간에서 상담원과 수사관이 협력하는 구조입니다. 이 과정에서 조사관이 피해자의 주관적 감정에 동화될 경우, 피의자에게 불리한 답변을 이끌어내는 폐쇄적 유도심문이 발생하기 쉽습니다. 이는 피의자의 반대 심문권이 보장되지 않는 상황에서 '오염된 증거'를 생성할 위험이 큽니다. 이것은 성폭력 사건에 있어서 성인지 감수성과 굉장히 많이 어긋난다고 볼 수 있습니다. 성인지 감수성은 한쪽 성별이 아닌 양쪽 성별 모두에게 적용되야 할 것입니다.  나. 남성 피해자에 대한 제도적 문턱과 편견 접근성 저해: 해바라기센터가 성평등가족부 산하 기관이라는 인식과 '여성 전용 공간'이라는 사회적 분위기 때문에 남성 피해자들은 신고 및 방문 자체에 심리적 장벽을 느낍니다. 수사 과정의 2차 가해: 남성 피해자가 조사 과정에서 겪는 ""남자가 그럴 수도 있지"", ""강하게 저항하지 않았느냐"" 식의 성별 고정관념에 기반한 질문은 명백한 2차 가해이며, 이는 조사 결과의 왜곡을 초래합니다.  지원 인프라 부족: 남성 전용 쉼터나 전문 상담 인력이 부족하여, 사건 초기 조사 이후 지속적인 보호와 회복 지원에서 남성은 사실상 방치되고 있는 실정입니다. 이것은 성폭력 피해자를 보호한다는 목적과 굉장히 어긋납니다. 이에 남성 피해자에 있어서 지원하는 인프라를 확대해야 할 것입니다. 4. 실질적 개선을 위한 구체적 요구 사항 가. [수사 혁신] '진술 객관성 검증 시스템' 의무화 AI 진술 분석 및 녹화 중계: 유도심문을 방지하기 위해 조사 전 과정을 실시간 모니터링하고, 질문 패턴이 유도성인지 분석하는 시스템을 도입해야 합니다. 조사 기록의 전면 공개: 피의자 측이 조사 과정의 공정성을 검토할 수 있도록, 수사 기밀을 해치지 않는 선에서 조사관의 질문지와 영상 녹화 기록물에 대한 접근권을 법적으로 보장해야 합니다. 나. [남성 지원] 남성 피해자 특화 지원 체계 구축 및 명칭 변경 중립적 명칭으로의 전환: '해바라기센터'라는 명칭이 특정 성별에 편중된 느낌을 준다면, 이를 '성폭력 통합 수사·지원 센터' 등 보다 중립적이고 공적인 명칭으로 변경하여 남성 피해자의 접근성을 높여야 합니다. 남성 전문 상담·수사 인력 배치: 모든 센터에 남성 피해자의 심리적 특성을 이해하는 남성 상담원과 수사관을 의무 배치하여, 남성 피해자가 위축되지 않고 진술할 수 있는 환경을 조성해야 합니다. 지금 인식은 '해바라기 센터'는 여성 피해자만 이용하는 곳. 이라는 인식이 팽배합니다. 이것은 성평등가족부라는 정부 부처에 맞지 않은 인식이며, 이것은 센터 자체가 특정 성별이 아닌 양쪽 성별을 중시하는 보호, 수사가 이루어져야 할 것입니다. 다. [인식 개선] 범정부 차원의 '성중립적 피해자 보호' 캠페인 ""피해자에는 성별이 없다""는 기치 아래, 남성 성폭력 피해의 심각성을 알리고 이들에 대한 조롱이나 편견을 멈추는 사회적 인식 개선 사업을 성평등가족부와 교육부가 공동 주관해야 합니다. 성폭력 예방 교육 시 남성이 가해자라는 프레임에서 벗어나, 남성 또한 피해자가 될 수 있으며 그럴 때 국가가 어떻게 보호하는지에 대한 교육을 강화해야 합니다. 성인지 감수성은 여성에게만 해당되는 일이 아닙니다. 남성 피해자에게도 성인지 감수성을 충분히 적용하여, 정부 부처의 2차 가해가 있으면 안될 것입니다. 5. 결론 국가는 범죄 피해자를 보호할 의무가 있는 동시에, 단 한 명의 억울한 국민도 만들지 말아야 할 사법 정의 실현의 의무가 있습니다. 현재의 해바라기센터 운영 방식은 한쪽의 인권만을 강조한 나머지 사법 체계의 근간인 공정성을 잃어가고 있습니다. 본 청원인은 국회가 관련 법률(성폭력방지법 등)을 개정하여 조사 과정의 중립성을 확보하고, 실질적인 법치주의가 실현될 수 있도록 적극적으로 나서줄 것을 간곡히 요청합니다."
보건복지부," 
														남자 피부미용사들을 위한 법개정
														",sns를 보면 남자전용왁싱샵이라며 여자원장들이 운영하며 남자들을 불러모아 퇴폐업소로 운영된다고 요즘 난리던데 남자들은 여자분들을 받기 어려운 실정인데..여성원장님들은 남자 여자 가리지않고 받을수있으니 이러한 문제들이 발생하는거 같아 법개정이 이루어져 남자들은 남자피부미용사에게 여자들은 여자피부미용사에게 이용할수있도록 하여 소득의 분배와 불법영업이 이루어지지 않도록 했으면 좋겠습니다.
법무부," 
														사형 집행 재개를 진심으로 간청드립니다.
														","사형 집행 부활이 절실히, 간절히 필요합니다 : 대한민국은 광주 5.18을 저지르면서 국민들을 총과 칼, 군화로 죽였고.   14세 밖에 안 된 아이에게 대포를 쏘아 죽이기까지 했던 전두환 내란 우두머리를 사형을 선고해놓고 집행하지 않아 무기징역에서 결국 사면으로 사망하기 전까지 많은 재산을 숨기며 5.18 민주화 운동을 위해 싸우다 돌아가신 고인 분들, 가족들을 폄훼하고 혼자 골프치며 잘 먹고 평생 호화 생활을 누린 사형수였음은 누가 기억하고 있겠습니까..   유영철, 강호순 등 연쇄 살인마 사형수들은 사형 집행이 안되니 교도관님들만 괴롭히며 살고. 아기들 2명을 포함해 보험금 받으려고 부인까지 살해하고 집에 화재까지 일으켜놓고 우는 척 하던 범인이었던 남편, 고유정 같이 있을 수 없는 범죄를 저질러도, 돈 때문에 어머니, 형을 죽이고. 특히 살인 후 토막을 하거나 산에 암매장하여도 사형 선고도 안 내리고. 사형 선고를 받은 범인들은 사형 실행이 안 되니 범죄는 더 많아지고, 악덕해지고, 연쇄 살인과 성폭행 후 살인은 당연한 일이 되었고..   이번에 내란 우두머리 윤석열과 종사자들의 재판들을 보십시오. 국회의원들을 죽이려고 했고, 계획도 이미 11월에 해놓고. 재판에서는 사실도 기억 안난다고 판사님듵, 검사님들 질문에 깡패처럼 거들먹 거리고.,.   반성은 절대 바랄 수 없이 사과도 국민들께 안 하고.. 내란 수괴들도 사형 선고 안 받고 30년, 25년에서 17년으로 내려주는 등 내랸 재판은 그냥 하나의 집합체들이 서로 도박하다가 걸려서 이게 네 돈이다. 난 구경만 했다 등등 뻔히 드러나는 거짓말, 위증에도 형량이 우습고. 이 모든 것의 주동자라고 생각하는 국민들.. 아실겁니다.   김건희. 재판이 가관입니다. 봐주기 재판에 제 역할 못하는 판사들.. 국정농단을 한 게 확실한 것을 알면서 늦어지는 수사.., 부부가 다륻 사형수들과 사형 집행을 받아야 하는데. 왜 이재명 대통령님읃 국민들의 마음을 모르고 시장에 가서 사진 찍으시고 음식 섭취하고.. 제발 그 시간에 단호한 결정을. 국무회의 후 사형집행 재개를 할 것이라는 얘기는 언급도 안 하십니다. 원망스럽습니다.   대한민국이 인권이 중요한 나라가 되었지만 법전과 헌법에 있는 그대로 사형수를 사형집행하는 것. 그래야 더 이상 내란도, 토막 살인도, 연쇄살인, 이별 살인, 강도 살인, 깅간 치사, 다수 살인 등의 죄를 못 짓도록 사형집행을 재개해야 합니다.   이재명 대통령님. 교황이 대한민국의 국가 종교 지도자입니까. 도움이 필요할 때 모르쇠하는 UN이 뭐라도 됩니까. 대한민국은 독립국가이잖습니까. 전문가 분들도 사형 제도 부활을 방송에서 드러냅니다.   제발 살인자들이 죄를 저지르면 사형 받는다고. 윤석열 처럼 내란 우두머리 주제에 건방 떨고 하는 것도 사형 선고가 내려져야 당연한 건데 재판은 무기징역이었습니다. 제가 전공하는 법학에 분명 내란 우두머리는 무조건 사형밖에 없는데 무기징역이나 판결하십니다.   존경하는 이재명 대통령님. 더 이상 이런 토막 살인, 내란 등을 저질러도 아무렇지도 않게 생각하고 따라서 살인을 저지르는 살인자들에게 사형이 선고되게 하여주시고. 반드시 사형 집행을 부활시켜주십시오. 어떻게 사람을 죽인자의 인권이 죽은 피해자와 가족들의 인권보다 우선되어야 하는 것입니까.   반드시 살인 범조율이 줄어들 것임을 장담합니다. 제발 사형 집행 재개를 해주십시오. 대통령님의 오점이 될까봐 걱정하시는 분이 아니시길 호소드립니다.  간청드립니다"
경찰청," 
														LV.6 자타율 정주행 시대 대비 빨노파보 4색 신호등 체계 도입 청원
														","**[청원] 자타율 정주행 시대 대비 ‘빨·노·파·보’ 4색 신호등 체계 도입 제안** ### 1. 제안 배경: 자타율 혼합 주행 환경의 도래  * 인간 운전자와 자율주행(AI) 시스템이 공존하는 **'자타율 정주행 시대'**에는 도로 위 신호의 명확성과 직관성이 최우선 과제입니다.  * 기존의 황색·적색 점멸등 체계는 자율주행 센서의 인식 오류를 유발할 수 있어, 새로운 표준 인프라가 필요합니다. ### 2. 핵심 내용: 점멸등을 ‘보라색 상시 점등(항등)’으로 대체  * **4색 체계 구축:** 기존 3색(적·황·청)에 **'보라색(Purple)'**을 추가하여 자율주행 혼합 구간의 신호 표준으로 지정합니다.  * **항등(상시 점등) 전환:** 깜빡이는 점멸등을 폐지하고, 자율주행 및 일반 차량 모두가 인지할 수 있는 보라색 항등 신호로 대체합니다. ### 3. 보라색 항등의 3대 핵심 이점  * **전력 및 비용 효율 극대화:** 신호등을 켰다 끄는 과정에서 발생하는 돌입 전류(Inrush Current)를 차단하고, 저전력 지속 점등을 통해 **LED 소자 수명 연장 및 전력 소모를 획기적으로 절감**합니다.  * **AI 인식 불확실성 제거:** 카메라 센서가 점멸 신호를 순간적으로 놓치는 엘리어싱(Aliasing) 현상을 원천 방지하여, 자율주행차의 제어 안정성을 높입니다.  * **시각적·심리적 안정:** 운전자에게 점멸등이 주는 불안감을 해소하고, 완전히 구분되는 보라색을 통해 '차세대 지능형 도로'임을 직관적으로 전달합니다. ### 4. 결론 및 기대효과 본 청원은 단순한 신호등 색상 추가가 아닌, **국가적 모빌리티 표준 선점**과 **에너지 효율적 인프라 구축**을 동시에 달성하는 '데이터 정법(正法)'의 실현입니다. 대한민국이 글로벌 미래차 인프라 시장을 선도할 수 있도록 적극적인 법제화를 요청합니다.  "
경찰청," 
														꼬리물기 등 구민들이 애매한 사황
														",자회전이나 직진이 끝나갈때쯤  보행자 신호처럼  초록불이 10초전에 깜빡임이 있던지 신호바뀌기전 인지 핤수 있는 신호가 있었으면 좋겠습니다 단속도 중요하지만 최우선은 사고가 안나는게 우선인거 같습니다
